Clarke Mosquito Control - FL CEMM,,,,,,,,,,,,,,,,,,,,
"Mosquito Specimen Collections--Alachua County, FL",,,,,,,,,,,,,,,,,,,,
11/11/2008,,,,,,,,,,,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #,,,,,,,,,,
Aedes albopictus,,,,,,,,,0,2,,,,,,,,,,
A. aegypti,,,,,,,,,0,3,,,,,,,,,,
A. vexans,,,,,,,,,0,1,,,,,,,,,,
Ochlerotatus atlanticus,1,,,,,,,,1,9,,,,,,,,,,
O. dupreei,,,,,,,,,0,18,,,,,,,,,,
O. fulvus pallens,,,,,,,,,0,8,,,,,,,,,,
O. infirmatus,4,1,4,6,,,,,15,7,,,,,,,,,,
O.  mitchellae,,,,,,,,,0,6,,,,,,,,,,
O. solicitans,,,,,,,,,0,15,,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,0,5,,,,,,,,,,
O.  triseriatus,,,,,,,,,0,14,,,,,,,,,,
Anopheles crucians,3,,2,,,,,,5,34,,,,,,,,,,
A. quadrimaculatus,,,,,,,,,0,31,,,,,,,,,,
Culex  erraticus,,,,,,,,,0,25,,,,,,,,,,
C. nigrapalpus,3,1,5,,,,,,9,42,,,,,,,,,,
C.  quinquefasciatus,,,,,,,,,0,27,,,,,,,,,,
C. restuans,,,,,,,,,0,21,,,,,,,,,,
C.  salinarius,,,,,,,,,0,23,,,,,,,,,,
Culiseta  inornata,,,,,,,,,0,40,,,,,,,,,,
Culiseta  melanura,,,,,,,,,0,41,,,,,,,,,,
Coquillettidia  perturbans,,,,,,,,,0,60,,,,,,,,,,
Mansonia  titillans,,,,,,,,,0,47,,,,,,,,,,
M. dyari,,,,,,,,,0,48,,,,,,,,,,
Psorophora  ciliata,,,,,,,,,0,51,,,,,,,,,,
P. columbiae,,,,,,,,,0,50,,,,,,,,,,
P. ferox,,,,,,,,,0,52,,,,,,,,,,
P. howardii,,,,,,,,,0,54,,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,0,88,,,,,,,,,,
Uranotaenia  sapphirina,,,,,,,,,0,70,,,,,,,,,,
U.  lowii,,,,,,,,,0,71,,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,,,0,80,,,,,,,,,,
W.  vanduzeei,,,,,,,,,0,82,,,,,,,,,,
Totals,11,2,11,6,0,0,0,0,30,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Diachlorus ferragatus,,,,,,,,,,,,,,,,,,,,
Totals,,,,,,,,,,,,,,,,,,,,
*=actual number present in sample,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
